Record ID,Offender Number,Record Date,Fiscal Year Revocated,Admission Type,Revocation,Sex,Race & Ethnicity,Age,Offense Classification,Offense Description,Offense Type,Offense Subtype
136843440,1368,12/06/2018,2019,2. Other New Conv,Probation,Male,White,53.95,Aggravated Misdemeanor,Aggravated Theft,Violent,Assault
31389340882,313893,12/05/2011,2012,2. Other New Conv,Probation,Male,White,40.47,D Felony,FORGERY,Property,Forgery/Fraud
62402441676,624024,02/06/2014,2014,4. New Arrest ICON,Probation,Male,White,51.01,D Felony,THEFT 2ND DEGREE,Property,Theft
5435742587,54357,08/05/2016,2017,2. Other New Conv,Probation,Male,White,52.38,D Felony,OPER VEH WH INT (OWI)/CLASS D FEL/3RD AND SUBSEQUENT OFF,Public Order,OWI
329441283,3294,01/09/2013,2013,1. New Fel/Agg Conv,Probation,Male,White,50.81,Aggravated Misdemeanor,"ALCOHOL CHAPTER 123, 3RD AND SUBSEQUENT",Public Order,Alcohol
7272041044,72720,05/15/2012,2012,2. Other New Conv,Probation,Male,White,44.72,Aggravated Misdemeanor,ASSAULT WHILE DISPLAYING A DANGEROUS WEAPON,Violent,Assault
552340758,5523,08/03/2011,2012,1. New Fel/Agg Conv,Probation,Male,White,45.74,Aggravated Misdemeanor,OPER VEH WH INT (OWI) / AGR MISD / 2ND OFF -,Public Order,OWI
240258342293,2402583,10/16/2015,2016,4. New Arrest ICON,Probation,Male,White,49.05,D Felony,THEFT 2ND DEGREE,Property,Theft
619240088,6192,10/02/2009,2010,1. New Fel/Agg Conv,Probation,Male,Black,43.87,D Felony,"Proh Acts-Mfg, Del, Consp or Poss-Marij LT 50 kg",Drug,Trafficking
241175743581,2411757,04/26/2019,2019,1. New Fel/Agg Conv,Probation,Male,White,53.54,D Felony,BURGLARY 3RD DEGREE,Property,Burglary
703240431,7032,09/10/2010,2011,2. Other New Conv,Probation,Female,White,59.17,D Felony,OPER VEH WH INT (OWI)/CLASS D FEL/3RD AND SUBSEQUENT OFF,Public Order,OWI
924940882,9249,12/05/2011,2012,1. New Fel/Agg Conv,Probation,Male,Black,46.14,Aggravated Misdemeanor,DOMESTIC ABUSE ASSAULT - 2ND OFFENSE,Violent,Assault
242415939679,2424159,08/19/2008,2009,4. New Arrest ICON,Probation,Male,White,33.24,D Felony,BURGLARY 3RD DEGREE,Property,Burglary
302113540822,3021135,10/06/2011,2012,1. New Fel/Agg Conv,Probation,Male,White,43.1,D Felony,BURGLARY 3RD DEGREE,Property,Burglary
1004440945,10044,02/06/2012,2012,1. New Fel/Agg Conv,Probation,Male,White,52.2,D Felony,Possession of a Controlled Substance - 3rd and subsequent,Drug,Drug Possession
8852141526,88521,09/09/2013,2014,4. New Arrest ICON,Probation,Male,White,45.93,C Felony,"Proh Acts-Mfg, Del, Consp, or Poss w/Int-Meth LT 5 gm",Drug,Trafficking
303013543556,3030135,04/01/2019,2019,1. New Fel/Agg Conv,Probation,Male,White,49.94,D Felony,BURGLARY 3RD DEGREE,Property,Burglary
8930140893,89301,12/16/2011,2012,1. New Fel/Agg Conv,Probation,Female,White,62.5,D Felony,PIMPING,Public Order,Prostitution/Pimping
1006840882,10068,12/05/2011,2012,1. New Fel/Agg Conv,Probation,Female,White,54.06,D Felony,Proh Acts-Poss Prod Int for Mfg Cont Subst-Pseudoephedrine,Drug,Trafficking
304652442481,3046524,04/21/2016,2016,1. New Fel/Agg Conv,Probation,Male,Black,44.13,D Felony,THEFT 2ND DEGREE,Property,Theft
307160441969,3071604,11/26/2014,2015,1. New Fel/Agg Conv,Probation,Male,Black,45.16,D Felony,BURGLARY 3RD DEGREE,Property,Burglary
1106140031,11061,08/06/2009,2010,1. New Fel/Agg Conv,Probation,Male,White,48.47,Felony - Enhancement to Original Penalty,HABITUAL OFFENDER (PROPERTY),Other,Other Criminal
1132841992,11328,12/19/2014,2015,5. Other Vio-No Arrest,Probation,Male,White,53.96,D Felony,BURGLARY 3RD DEGREE,Property,Burglary
1138240052,11382,08/27/2009,2010,1. New Fel/Agg Conv,Probation,Male,White,50.04,D Felony,BURGLARY 3RD DEGREE,Property,Burglary
307161943496,3071619,01/31/2019,2019,1. New Fel/Agg Conv,Probation,Male,White,46.35,D Felony,THEFT 2ND DEGREE,Property,Theft
8931941570,89319,10/23/2013,2014,5. Other Vio-No Arrest,Probation,Male,White,49.72,Aggravated Misdemeanor,THEFT 3RD DEGREE,Property,Theft
1169143755,11691,10/17/2019,2020,5. Other Vio-No Arrest,Probation,Male,White,54.86,Aggravated Misdemeanor,Proh Acts-Poss w/o Prescription - 2nd Offense,Drug,Drug Possession
1185042772,11850,02/06/2017,2017,5. Other Vio-No Arrest,Probation,Male,Black,58.11,Aggravated Misdemeanor,Sex Offender - Registration Violation - 1st Offense,Public Order,Other Public Order
313325442461,3133254,04/01/2016,2016,4. New Arrest ICON,Probation,Male,White,49.04,D Felony,FORGERY,Property,Forgery/Fraud
